2019-05-31 17:06:59 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  33,1; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 216.0; Tile: FINISH
2019-05-31 17:06:59 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  34,1; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 215.0; Tile: FINISH
2019-05-31 17:06:59 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  35,1; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 214.0; Tile: FINISH
2019-05-31 17:06:59 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,2; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 213.0; Tile: ROAD
2019-05-31 17:06:59 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,3; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 212.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,4; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 211.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,5; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 210.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,6; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 209.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,7; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 208.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,8; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 207.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  35,9; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 206.0; Tile: ROAD
